name,rating,link,tag,rating_people
加菲猫和他的朋友们 第三季,9.3,https://movie.douban.com/subject/24289181/?from=subject-page,"动画,美国,加菲猫,童年,美国动画,动画片,经典,喜剧",423
绿灯侠：动画版 第一季,8.1,https://movie.douban.com/subject/5324766/?from=subject-page,"动画,DC,绿灯侠,美国,科幻,美国动画,2011,超级英雄",440
新蝙蝠侠 第三季,8.7,https://movie.douban.com/subject/20451285/?from=subject-page,"DC,动画,蝙蝠侠,美国,Batman,超级英雄,美国动画,漫画改编",204
废柴舅舅 第一季,9.0,https://movie.douban.com/subject/25811267/?from=subject-page,"英剧,喜剧,BBC,英国,温情,2014,电视剧,看过的电视剧",34355
刺猬索尼克历险记,8.6,https://movie.douban.com/subject/3090047/?from=subject-page,"动画,美国,小神龙俱乐部,童年回忆,童年,美国动画,动画片,1993",967
非凡的公主希瑞 第二季,8.4,https://movie.douban.com/subject/27604096/?from=subject-page,"动画,美国,童年回忆,奇幻,1986,冒险,魔幻,欧美电视动画",105
变形金刚 第三季,8.9,https://movie.douban.com/subject/10831562/?from=subject-page,"动画,美国,变形金刚,童年,经典,1986,美国动画,童年回忆",671
星际旅行-原初-第3季第3集,,https://movie.douban.com/subject/6530989/?from=subject-page,"科幻,TOS,StarTrek,美国,1960s,爱情,TV,电视剧",
伴我双飞,8.5,https://movie.douban.com/subject/5401550/?from=subject-page,"英剧,喜剧,英国,bbc,看过的电视剧,英语标签,BBC,2010",4301
办公室笑云 第一季,8.4,https://movie.douban.com/subject/1428333/?from=subject-page,"英剧,BBC,喜剧,英国,MartinFreeman,电视剧,UK,comedy",2918
飞龙特工队,,https://movie.douban.com/subject/4303000/?from=subject-page,"科幻,美国,童年,经典,美剧,电视剧,1987,谁有资源",
神奇动物管理员 第一季,8.9,https://movie.douban.com/subject/1957935/?from=subject-page,"英剧,喜剧,BBC,英国,NoelFielding,奇幻,2004,搞笑",2554
美国犯罪故事 第四季,,https://movie.douban.com/subject/26995168/?from=subject-page,"美剧,真实事件改编,犯罪,美国,政治丑闻,悬疑,传记,电视剧",
IT狂人  第三季,9.4,https://movie.douban.com/subject/3345619/?from=subject-page,"英剧,喜剧,英国,BBC,电视剧,搞笑,2008,看过的电视剧",37744
家裂 第一季,8.4,https://movie.douban.com/subject/26955076/?from=subject-page,"英剧,BBC,女性,家庭,律政,英国,人性,2018",843
法国小馆儿 第一季,9.2,https://movie.douban.com/subject/1807476/?from=subject-page,"英剧,喜剧,BBC,英国,法国,电视剧,'Allo!,二战",2588
生活大爆炸 第七季,9.2,https://movie.douban.com/subject/21339708/?from=subject-page,"美剧,喜剧,生活大爆炸,美国,谢耳朵,2013,电视剧,CBS",71281
超胆侠 第一季,8.4,https://movie.douban.com/subject/25769160/?from=subject-page,"美剧,Netflix,Marvel,MARVEL,美国,动作,科幻,2015",17410
杰西卡·琼斯 第一季,7.5,https://movie.douban.com/subject/25769161/?from=subject-page,"美剧,Netflix,Marvel,漫画改编,科幻,美国,MARVEL,2015",10514
加菲猫和他的朋友们 第七季,9.1,https://movie.douban.com/subject/26730041/?from=subject-page,"动画,美国,美国动画,童年回忆,加菲猫,美剧,童年,1994",152
当心蝙蝠侠 第一季,7.5,https://movie.douban.com/subject/10600145/?from=subject-page,"DC,动画,蝙蝠侠,美国,漫画改编,2013,超级英雄,Batman",400
绿箭侠 第一季,7.4,https://movie.douban.com/subject/10527257/?from=subject-page,"美剧,动作,漫画改编,美国,DC,科幻,CW,2012",31111
米兰达：2014圣诞特辑,9.0,https://movie.douban.com/subject/26282681/?from=subject-page,"英剧,喜剧,BBC,英国,看过的电视剧,英语标签,2014,Miranda",4908
宇宙的巨人希曼 第一季,7.4,https://movie.douban.com/subject/1845562/?from=subject-page,"动画,美国,童年,希曼,美国动画,动画片,童年回忆,经典",9126
小不点 第二季,,https://movie.douban.com/subject/10528418/?from=subject-page,"动画,美国,1984,童年回忆,法国,日本,剧集,动画片",
小飞龙,8.8,https://movie.douban.com/subject/23068404/?from=subject-page,"动画,童年回忆,日本,日本动画,手塚治虫,经典,1972,童年",415
乐坛毒舌嗡嗡鸡 第一季,9.5,https://movie.douban.com/subject/10457795/?from=subject-page,"BBC,英国,英剧,爆笑,buzzcocks,喜剧,UK,quiz_show",1761
六贱客,8.7,https://movie.douban.com/subject/5244253/?from=subject-page,"MartinFreeman,英剧,BBC,喜剧,英国,喜剧/黑色幽默,电视剧,小自由",187
圣斗士星矢 冥王哈迪斯冥界篇 后章,8.7,https://movie.douban.com/subject/25903031/?from=subject-page,"日本,动画,圣斗士,日本动画,动漫,2006,车田正美,圣斗士星矢",1709
谎言屋 第五季,7.4,https://movie.douban.com/subject/26358021/?from=subject-page,"美剧,Showtime,美国,喜剧,咨询,2016,电视剧,搞笑",80
在外婆家 第一季,8.5,https://movie.douban.com/subject/5046042/?from=subject-page,"英剧,SimonAmstell,英国,喜剧,BBC,2010,家庭,UK",450
督察班克斯 第五季,7.8,https://movie.douban.com/subject/26857377/?from=subject-page,"英剧,英国,犯罪,罪案,ITV,悬疑,侦探,推理",76
重案组女警 第五季,8.3,https://movie.douban.com/subject/26774334/?from=subject-page,"英剧,ITV,英国,女性,罪案,2016,电视剧,犯罪",102
意外,,https://movie.douban.com/subject/34873711/?from=subject-page,"英剧,剧情,英国,电视剧,Channel4,2019,英劇,未看但弃",
小谢尔顿 第一季,9.2,https://movie.douban.com/subject/26910060/?from=subject-page,"美剧,喜剧,谢耳朵,生活大爆炸衍生剧,美国,家庭,儿童,衍生剧",68057
姬芮 第一季,7.6,https://movie.douban.com/subject/27621767/?from=subject-page,"英剧,人性,BBC,悬疑,英国,剧情,Channel4,英劇",101
老爸老妈的浪漫史 第五季,9.1,https://movie.douban.com/subject/3990479/?from=subject-page,"美剧,喜剧,美国,老爸老妈的浪漫史,2009,看过的电视剧,电视剧,爱情",25004
小不列颠  第三季,9.1,https://movie.douban.com/subject/4896289/?from=subject-page,"英剧,BBC,喜剧,英国,看过的电视剧,英语标签,恶搞,电视剧",3873
哥谭 第一季,8.4,https://movie.douban.com/subject/25733164/?from=subject-page,"美剧,DC,犯罪,蝙蝠侠,漫画改编,美国,FOX,2014",24626
大白鲸,8.1,https://movie.douban.com/subject/1883725/?from=subject-page,"动画,日本,日本动画,大白鲸,童年,童年回忆,动画片,怀旧",2575
神探加杰特 第一季,8.4,https://movie.douban.com/subject/1781597/?from=subject-page,"动画,神探加杰特,美国,童年,动画片,法国,童年回忆,加拿大",20874
海底小精灵 第一季,8.3,https://movie.douban.com/subject/1886965/?from=subject-page,"动画,美国,童年,动画片,比利时,卡通,经典,动漫",13990
聪明的小矮人,8.4,https://movie.douban.com/subject/2059858/?from=subject-page,"小神龙俱乐部,动画,聪明的小矮人,童年回忆,荷兰,童年,动画片,荷兰动画",1028
摩登家庭  第三季,9.5,https://movie.douban.com/subject/6729121/?from=subject-page,"美剧,喜剧,家庭,美国,ABC,2011,摩登家庭,电视剧",49011
佐罗,7.9,https://movie.douban.com/subject/2034166/?from=subject-page,"动画,美国,童年,童年回忆,佐罗,动画片,美国动画,1981",4732
我的电影人生,8.9,https://movie.douban.com/subject/2313851/?from=subject-page,"英剧,BBC,AndrewScott,英国,喜剧,电视剧,2004,comedy",478
罗宾森一家,8.3,https://movie.douban.com/subject/5063970/?from=subject-page,"MartinFreeman,英剧,BBC,喜剧,英国,UK,小自由,2005",246
超现实大学生活 第一季,8.7,https://movie.douban.com/subject/1756790/?from=subject-page,"英剧,英国,喜剧,BBC,UK,1980s,comedy,TV",231
蓝精灵 第一季,8.3,https://movie.douban.com/subject/1807959/?from=subject-page,"动画,童年,蓝精灵,美国,动画片,比利时,经典,童年回忆",39408
无辜者,7.4,https://movie.douban.com/subject/26848492/?from=subject-page,"英剧,悬疑,犯罪,推理,剧情,悬疑犯罪,英劇,2018",198
莫尔希德,,https://movie.douban.com/subject/26978250/?from=subject-page,"英剧,BBC,英国,真实改编,犯罪,电视剧,剧情,2017",
创伤,7.0,https://movie.douban.com/subject/27169056/?from=subject-page,"英剧,英国,人性,社会,ITV,医疗,剧情,2018",84
平凡的谎言 第二季,,https://movie.douban.com/subject/26896907/?from=subject-page,"英剧,BBC,剧情,英国电视剧,英国,UK,温情,英剧2",
内森·巴利,7.8,https://movie.douban.com/subject/1922315/?from=subject-page,"英剧,英国,BenedictCumberbatch,喜剧,BenWhishaw,UK,NoelFielding,comedy",195
卧底丑闻,7.0,https://movie.douban.com/subject/26555930/?from=subject-page,"英剧,BBC,英国,电视剧,悬疑,剧情,犯罪,谍战",104
康斯坦丁,7.7,https://movie.douban.com/subject/25741475/?from=subject-page,"美剧,魔幻,DC,漫画改编,奇幻,宗教,美国,灵异",14356
太空堡垒,9.1,https://movie.douban.com/subject/1807994/?from=subject-page,"动画,太空堡垒,日本,童年,科幻,经典,美国,日本动画",8291
我们这一天 第一季,9.5,https://movie.douban.com/subject/26794215/?from=subject-page,"美剧,温情,家庭,感动,生活,美国,喜剧,2016",128808
小不点 第一季,8.1,https://movie.douban.com/subject/1897851/?from=subject-page,"动画,美国,童年,童年回忆,动画片,小神龙俱乐部,美国动画,怀旧动画",2065
OZ国历险记,8.4,https://movie.douban.com/subject/2032212/?from=subject-page,"动画,绿野仙踪,加拿大,童年,童年回忆,动画片,日本,美国",9624
华斯比历险记,8.4,https://movie.douban.com/subject/1845617/?from=subject-page,"动画,美国,童年回忆,华斯比历险记,童年,小神龙俱乐部,动画片,美国动画",5398
故乡,7.7,https://movie.douban.com/subject/20285044/?from=subject-page,"英剧,AndrewScott,英国,ITV,悬疑,2012,莫娘,电视剧",593
